month,C,M,yoy_tw_revenue,yoy_us_transformer_imports,yoy_us_switchgear_imports,decision,ruleA,ruleB,ruleM
2018-04-01,0.19367534303211595,-1.2598178677398935,0.12829231250091766,-0.000619306253463181,-0.02686959725384197,2018-06-16,False,True,False
2018-05-01,0.6318562580401973,-0.17503741581856846,0.13172038548283327,-0.007349490081149601,0.411326328306425,2018-07-16,False,True,False
2018-06-01,1.035240218275059,0.3605157420718855,0.12321098057533364,0.14949034726628163,0.4941373574513779,2018-08-16,True,True,True
2018-07-01,0.533277435360379,0.339602092328263,0.011244859564124354,0.14017368578958278,0.34152601432786134,2018-09-16,True,True,True
2018-08-01,0.7604058503583523,0.128549592318155,0.048832545933446214,0.27702127831504386,0.18608461635340556,2018-10-16,True,True,True
2018-09-01,0.45112762756997643,-0.5841125907050826,0.16393589737490366,0.04558891862335157,0.07788928894888114,2018-11-16,False,True,False
2018-10-01,0.8613865251246198,0.3281090897642408,0.20602677605461972,0.14327917477577645,0.15760528249999184,2018-12-16,True,True,True
2018-11-01,0.03043355036094586,-0.7299722999974064,0.12649694355534957,-0.03238420593962943,-0.044529661115564,2019-01-16,False,True,False
2018-12-01,-0.08939664828121052,-0.540524275851187,0.014914318690020245,0.09605938782103474,-0.13707172366597864,2019-02-16,False,False,True
2019-01-01,-0.34895601250341696,-1.2103425376280368,0.046771526074000036,0.07142288934754104,-0.4253242007964173,2019-03-16,False,False,True
2019-02-01,0.17198267507897932,0.14154912471803346,0.0877877443404329,0.19485716481936022,-0.3069732876098211,2019-04-16,True,True,True
2019-03-01,0.09907899165816154,0.18847563993937205,0.09952890749548726,0.10660656416627301,-0.21788754141642008,2019-05-16,True,True,True
2019-04-01,0.5482204153184806,0.8971764278218977,0.028131019725876616,0.22428742949682823,0.16003952082751316,2019-06-16,True,True,True
2019-05-01,0.061737434842721615,-0.1102452402362577,0.05168362374907942,0.15568166951404816,-0.21497447663730873,2019-07-16,False,True,False
2019-06-01,-0.15684980235919102,-0.2559287940173526,0.08987532461840209,0.05976626162100174,-0.3263113519255336,2019-08-16,False,False,True
2019-07-01,-0.4448145533928279,-0.9930349687113085,0.11322468959482768,-0.10675437277879196,-0.3130652870979156,2019-09-16,False,False,True
2019-08-01,-0.29068754778419464,-0.35242498262691624,0.04807082034347876,-0.012163074302015797,-0.19750850581488655,2019-10-16,False,False,True
2019-09-01,-0.13269703001130442,0.024152772347886597,-0.05497070867807752,0.13842365406530566,-0.09351380233872231,2019-11-16,False,False,True
2019-10-01,0.016866910416919494,0.4616814638097474,-0.07040753692126567,0.23461496353672318,-0.11007188446587057,2019-12-16,True,True,True
2019-11-01,0.5173457731020271,0.8080333208862218,-0.0490415380018544,0.37242876763743005,0.04420717906593352,2020-01-16,True,True,True
2019-12-01,0.657262246436875,0.7899592764481794,0.10192845696260688,0.24359804129675444,0.04387990170610645,2020-02-16,True,True,True
2020-01-01,0.9699591849043423,0.9530922744874228,0.12805719280987438,0.300652138662588,0.16747890992884784,2020-03-16,True,True,True
2020-02-01,0.6315710507911904,0.11422527768916324,0.13111854307376714,0.17881570536501945,0.09384251290264967,2020-04-16,True,True,True
2020-03-01,0.6460759283309618,-0.011186318105913196,0.057638407508183276,0.29305741726493006,0.0926896167826039,2020-05-16,False,True,False
2020-04-01,0.7445885700997272,-0.22537061480461507,0.06070873512437713,0.2712356774888993,0.2276645486487363,2020-06-16,False,True,False
2020-05-01,0.6822691516215403,0.05069810083034998,0.05416293378256842,0.24788200736933685,0.24221665600280362,2020-07-16,True,True,True
2020-06-01,0.6738521750991748,0.027776246768212998,-0.0009943786999143667,0.2693626918572267,0.3515592857583847,2020-08-16,True,True,True
2020-07-01,0.5342664471326518,-0.21032212296707542,-0.005749282608773831,0.32824065380778,0.14458842849826414,2020-09-16,False,True,False
2020-08-01,0.41566487690425036,-0.26660427471729,0.04100792705426759,0.23367525949682544,0.09357977358306546,2020-10-16,False,True,False
2020-09-01,0.18352746508689674,-0.49032471001227806,0.11309999642110902,0.14020502740128182,-0.13148247927142742,2020-11-16,False,True,False
2020-10-01,0.1870263110962763,-0.3472401360363755,0.11360903096103425,0.11562375980001871,-0.08495916479894128,2020-12-16,False,True,False
2020-11-01,-0.10501729866726006,-0.5206821755715104,0.06519466813068187,0.040900750399943675,-0.08216555034089479,2021-01-16,False,False,True
2020-12-01,0.4801867924378358,0.29665932735093903,0.1708932223700279,0.05808508456659833,0.12713219095866668,2021-02-16,True,True,True
2021-01-01,0.24864935660066148,0.06162304550438519,0.18115432473257775,-0.07009929174284102,0.13178046128826248,2021-03-16,True,True,True
2021-02-01,0.3046552302978566,0.4096725289651167,0.2110155892333423,-0.053826926503283246,0.07701044602229357,2021-04-16,True,True,True
2021-03-01,-0.1479846206931916,-0.6281714131310274,0.18405634772571866,-0.14125012434589368,-0.08967990487309752,2021-05-16,False,False,True
2021-04-01,0.09693963759582513,-0.15170971900483635,0.2459820415188545,-0.09709782973810743,-0.11310425604952157,2021-06-16,False,True,False
2021-05-01,0.5701583521869723,0.2655031218891157,0.2214735770964822,0.02356818290777185,0.14057099210469448,2021-07-16,True,True,True
2021-06-01,1.002291720702367,1.1502763413955586,0.1920162640455001,0.16838202067967556,0.3291772475111381,2021-08-16,True,True,True
2021-07-01,1.0491305092828578,0.9521908716870326,0.1443398332131003,0.17599418480919504,0.4838013751819401,2021-09-16,True,True,True
2021-08-01,0.7521694385368575,0.18201108634988516,0.15505911149209073,0.12531232946606097,0.2996732773292756,2021-10-16,True,True,True
2021-09-01,0.3212198471069712,-0.6810718735953958,0.08486095010539074,0.014405439593494274,0.3092001302668328,2021-11-16,False,True,False
2021-10-01,0.035517861870531554,-1.0136126474123262,0.10036626285420058,-0.07717532191293608,0.19297054470823793,2021-12-16,False,True,False
2021-11-01,0.08804538028735515,-0.6641240582495023,0.11572616830377447,-0.058960287911266396,0.1662276087138166,2022-01-16,False,True,False
2021-12-01,-0.34549252090299926,-0.6667123680099705,-0.0005542037331941474,-0.06424703183048797,0.0963352922650309,2022-02-16,False,False,True
2022-01-01,-0.35480222870196637,-0.39032009057249795,-0.055668706539991675,0.012429051288777915,0.08488937606670466,2022-03-16,False,False,True
2022-02-01,-0.04825891974499539,-0.13630430003235053,-0.042755368107572744,0.09033308009782237,0.1685562827022531,2022-04-16,False,False,True
2022-03-01,0.8683602858743864,1.2138528067773857,0.05023192211650929,0.2137256629295694,0.49004236345041097,2022-05-16,True,True,True
2022-04-01,0.7055597186037458,1.0603619473057122,0.04661121336954199,0.24006782516759895,0.3226399843904477,2022-06-16,True,True,True
2022-05-01,0.3454341298721932,0.3936930496171886,0.02226850580450268,0.18439599446830912,0.18554440406897865,2022-07-16,True,True,True
2022-06-01,0.08456796003484938,-0.7837923258395371,0.08034564794941645,0.12184853710095189,-0.06143321904701937,2022-08-16,False,True,False
2022-07-01,0.468285016928147,-0.23727470167559878,0.10646197906913923,0.21991680556698623,0.019367283710899574,2022-09-16,False,True,False
2022-08-01,0.5069226916010111,0.16148856172881793,0.0801087601543744,0.22123076734420022,0.11718312416290821,2022-10-16,True,True,True
2022-09-01,1.2651212394977671,1.1805532794629177,0.08672376151803096,0.500346365772665,0.26437191206408683,2022-11-16,True,True,True
2022-10-01,1.5950598000203933,1.1267747830922463,0.11674934639408585,0.5510844746662162,0.41974812573938514,2022-12-16,True,True,True
2022-11-01,1.8389977817108745,1.3320750901098632,0.16335044811252253,0.6864493873499886,0.3557910435304441,2023-01-16,True,True,True
2022-12-01,1.0477792735812497,-0.21734196591651744,0.06900545404547942,0.5909822461476062,0.12398264357468713,2023-02-16,False,True,False
2023-01-01,1.0617219611243824,-0.5333378388960108,0.07255435100426699,0.6314075727007693,0.10552350728150595,2023-03-16,False,True,False
2023-02-01,1.0252849770561088,-0.8137128046547657,0.08584491370720349,0.6146818967392365,0.09852704975269355,2023-04-16,False,True,False
2023-03-01,1.393704002526559,0.34592472894530935,0.18428407010313808,0.5796414946137662,0.22954984710551707,2023-05-16,True,True,True
2023-04-01,1.6221770879227797,0.5604551267983973,0.2093672904650452,0.5344882068238355,0.43550320140985566,2023-06-16,True,True,True
2023-05-01,1.7676349124424695,0.7423499353863607,0.18427952978899165,0.5445919260564143,0.6296940424730815,2023-07-16,True,True,True
2023-06-01,2.048163325821686,0.6544593232951268,0.12468765286003958,0.584926047683962,1.0193116532766946,2023-08-16,True,True,True
2023-07-01,2.1253511630163273,0.5031740750935476,0.16130057320404445,0.6658545643972116,0.9447999955528685,2023-09-16,True,True,True
2023-08-01,2.1211148449310993,0.35347993248862974,0.18186144613056854,0.7379805723311195,0.8478152966724231,2023-10-16,True,True,True
2023-09-01,1.6467917521402826,-0.4013715736814032,0.21856786923741933,0.5451255467680578,0.600239720382368,2023-11-16,False,True,False
2023-10-01,1.6736382431034313,-0.45171291991289597,0.1768190988267202,0.6570475617713241,0.6196800446707935,2023-12-16,False,True,False
2023-11-01,1.7089614510861733,-0.412153393844926,0.16991268308616725,0.6177483312957988,0.7530639693548027,2024-01-16,False,True,False
2023-12-01,2.8972601211269713,1.2504683689866887,0.2454846895882945,0.8200452200668267,1.5352777753453748,2024-02-16,True,True,True
2024-01-01,2.6860300156216823,1.012391772518251,0.2705143862203665,0.6138595714116097,1.6784891977714151,2024-03-16,True,True,True
2024-02-01,2.4789412763718954,0.7699798252857222,0.24457639321526026,0.5269730285911227,1.8139799759606614,2024-04-16,True,True,True
