code,month,event_date,ex6,ex12
3624,2018-05-01,2018-06-11,-0.44777229523637896,-0.5997945517979446
3624,2021-01-01,2021-02-11,0.4011045127770052,1.8669111589888905
3624,2021-10-01,2021-11-11,0.9215401131102585,0.24860061487817942
3630,2013-08-01,2013-09-11,-0.4579903282127561,-0.6843590666365703
3630,2019-04-01,2019-05-11,-0.22503000234055692,-0.502684785560624
3631,2013-02-01,2013-03-11,0.4481523179315021,-0.025933293596034135
3631,2013-09-01,2013-10-11,-0.325992866508258,-0.3668846155536736
3631,2017-09-01,2017-10-11,-0.25583320338951976,-0.0233009089838897
3632,2015-07-01,2015-08-11,-0.019375072429681617,-0.21729599514211473
3645,2014-11-01,2014-12-11,-0.16084680427670317,-0.3208363002453922
3645,2024-02-01,2024-03-11,0.013234447173727792,0.37756904886984466
3653,2025-02-01,2025-03-11,0.940890888987137,1.411798341696151
3653,2026-08-01,2026-09-11,,
3663,2021-06-01,2021-07-11,0.2780021485058166,0.22165945148715394
3663,2024-06-01,2024-07-11,0.07821082184560069,0.04239340846502215
3663,2025-04-01,2025-05-11,-0.46284179778221823,-0.7232216141820913
3663,2026-02-01,2026-03-11,-0.4614067841947761,
3666,2020-11-01,2020-12-11,-0.6263893551975531,-0.817242743503245
3669,2013-01-01,2013-02-11,-0.022512360747075855,0.07010920318707581
3669,2020-07-01,2020-08-11,-0.22585196629816995,-0.41357677190010045
3675,2021-09-01,2021-10-11,0.6752406244210838,0.19254595567412447
3675,2024-07-01,2024-08-11,-0.3938812524649572,-0.6751247974651093
3679,2013-03-01,2013-04-11,-0.3767609823095628,-0.332155259659657
3679,2013-09-01,2013-10-11,0.1018062137949598,0.06192439883268808
3679,2021-02-01,2021-03-11,-0.49315614224492976,-0.42880785274803856
3680,2013-02-01,2013-03-11,-0.38417067622408885,-0.22828721262496443
3680,2019-07-01,2019-08-11,1.2219431280270947,2.4024037380406407
3680,2021-11-01,2021-12-11,-0.14280801511084307,0.0024458592433761472
3685,2018-08-01,2018-09-11,-0.10548427346408562,-0.41337318767057285
3689,2013-02-01,2013-03-11,0.10218298565280026,0.5527249649827568
3689,2021-02-01,2021-03-11,0.6780748251813211,0.4461153647384246
3689,2025-03-01,2025-04-11,-0.009906332256048422,0.14046957683862926
3689,2026-06-01,2026-07-11,,
3691,2024-02-01,2024-03-11,-0.2258158793627939,-0.48694590234038415
3691,2025-12-01,2026-01-11,0.1987015274872046,
3693,2015-02-01,2015-03-11,-0.25838808860898455,-0.2918368943875199
3693,2022-12-01,2023-01-11,2.060995590502685,3.0056149171028075
3693,2026-08-01,2026-09-11,,
3694,2015-12-01,2016-01-11,-0.09378365317029935,-0.22401296522577197
3694,2021-02-01,2021-03-11,-0.28656170959248495,-0.29895518198239424
3701,2013-01-01,2013-02-11,-0.29999290686864877,-0.24767462173631194
3701,2013-07-01,2013-08-11,0.12121851502096948,0.278307110032217
3702,2013-01-01,2013-02-11,0.06665455366048467,0.01039444618378238
3702,2013-07-01,2013-08-11,-0.06970122757815878,-0.008892503974540666
3703,2013-04-01,2013-05-11,-0.014484501130679672,0.04326763129058353
3703,2013-10-01,2013-11-11,0.023628905970641156,0.08113324683323975
3706,2024-08-01,2024-09-11,0.3820754512574751,1.0509646418082434
3706,2025-02-01,2025-03-11,0.4292274870589583,-0.06334915126447993
3708,2020-07-01,2020-08-11,0.11789284213252027,-0.41615336466584496
3708,2021-01-01,2021-02-11,-0.4091376794600613,-0.4507658399644684
3708,2026-08-01,2026-09-11,,
3709,2025-04-01,2025-05-11,-0.08437381563247515,-0.2139533954134507
