month,C,M,yoy_tw_revenue,decision,ruleA,ruleB
2024-03-01,1.063060107863597,0.9121068854346827,0.2862745552238197,2024-04-16,True,True
2024-04-01,0.9334833732690768,0.306229157774098,0.2585967248997203,2024-05-16,True,True
2024-05-01,1.0230619045915477,0.20913106812463855,0.28116239957756695,2024-06-16,True,True
2024-06-01,0.908356509577276,-0.15470359828632108,0.2567528554617762,2024-07-16,False,True
2024-07-01,0.7612531436927266,-0.17223022957635026,0.2245088797682171,2024-08-16,False,True
2024-08-01,0.47823374805008545,-0.5448281565414622,0.16083218568166435,2024-09-16,False,True
2024-09-01,0.12832162446188344,-0.7800348851153925,0.08177946546947767,2024-10-16,False,True
2024-10-01,-0.32464061182410997,-1.0858937555168366,-0.020625724521525224,2024-11-16,False,False
2024-11-01,-0.6120433542626748,-1.0902771023127602,-0.08593882004751774,2024-12-16,False,False
2024-12-01,-0.7263046588278796,-0.8546262832897631,-0.11257329398300442,2025-01-16,False,False
2025-01-01,-0.7823823036674071,-0.45774169184329716,-0.12629326339102775,2025-02-16,False,False
2025-02-01,-0.6536986832955947,-0.04165532903291991,-0.09846709248693508,2025-03-16,False,False
2025-03-01,-0.5840748933626857,0.14222976546519395,-0.08370063220651802,2025-04-16,False,False
2025-04-01,-0.2623981898466189,0.5199841138207882,-0.012586458224113972,2025-05-16,False,False
2025-05-01,-0.12150725808564253,0.5321914252099521,0.018441329835536147,2025-06-16,False,False
2025-06-01,0.21511505975304218,0.7991899531157278,0.09273688891895038,2025-07-16,True,True
2025-07-01,0.5231402186815282,0.785538408528147,0.16086101138014275,2025-08-16,True,True
2025-08-01,0.9317140198028365,1.053221277888479,0.2517089795944667,2025-09-16,True,True
2025-09-01,1.3979216777552332,1.182806618002191,0.3572047893876207,2025-10-16,True,True
2025-10-01,2.047803312181905,1.5246630935003767,0.509211111474696,2025-11-16,True,True
2025-11-01,2.773768654275864,1.8420546344730275,0.6925618937162272,2025-12-16,True,True
2025-12-01,3.716814029683443,2.31889235192821,0.9612644899103875,2026-01-16,True,True
2026-01-01,4.909088998953149,2.8612856867712444,1.382226775443196,2026-02-16,True,True
2026-02-01,5.315797132653332,2.5420284783774676,1.6808612937044534,2026-03-16,True,True
2026-03-01,5.497917978446609,1.7811039487631661,1.973317179511373,2026-04-16,True,True
2026-04-01,5.512478394504818,0.6033893955516687,2.248386028448301,2026-05-16,True,True
2026-05-01,5.694217195251878,0.3784200625985461,2.6578553360535757,2026-06-16,True,True
2026-06-01,5.575564990748058,0.07764701230144855,2.9638492194851853,2026-07-16,True,True
2026-07-01,5.546345037812499,0.03386664330768152,3.345949298435661,2026-08-16,True,True
2026-08-01,5.231398034577627,-0.46281916067425044,3.533199440943588,2026-09-16,False,True
