month,hs,usd
2023-07-01,8542,6543938000
2023-07-01,854232,3052040000
2023-08-01,850423,24241000
2023-08-01,850760,531940000
2023-08-01,8542,7712699000
2023-08-01,854232,3727058000
2023-09-01,850423,81769000
2023-09-01,850760,550410000
2023-09-01,8542,8438819000
2023-09-01,854232,4265430000
2023-10-01,850423,49588000
2023-10-01,850760,454231000
2023-10-01,8542,7829558000
2023-10-01,854232,3750565000
2023-11-01,850423,51822000
2023-11-01,850760,668756000
2023-11-01,8542,8163008000
2023-11-01,854232,4260884000
2023-12-01,850423,102271000
2023-12-01,850760,748438000
2023-12-01,8542,9004382000
2023-12-01,854232,5314815000
2024-01-01,850423,68413000
2024-01-01,850760,375555000
2024-01-01,8542,8203889000
2024-01-01,854232,4537021000
2024-02-01,850423,87737000
2024-02-01,850760,439544000
2024-02-01,8542,8619441000
2024-02-01,854232,5176640000
2024-03-01,850423,117572000
2024-03-01,850760,439856000
2024-03-01,8542,9582279000
2024-03-01,854232,5765593000
2024-04-01,850423,60001000
2024-04-01,850760,376261000
2024-04-01,8542,8623165000
2024-04-01,854232,4896711000
2024-05-01,850423,61338000
2024-05-01,850760,418112000
2024-05-01,8542,9814341000
2024-05-01,854232,5714466000
2024-06-01,850423,81101000
2024-06-01,850760,528688000
2024-06-01,8542,11217510000
2024-06-01,854232,7055050000
2024-07-01,850423,39069000
2024-07-01,850760,490938000
2024-07-01,8542,9734764000
2024-07-01,854232,5804492000
2024-08-01,850423,54659000
2024-08-01,850760,491429000
2024-08-01,8542,10133553000
2024-08-01,854232,6034934000
2024-09-01,850423,102481000
2024-09-01,850760,471038000
2024-09-01,8542,11327045000
2024-09-01,854232,6926349000
2024-10-01,850423,105132000
2024-10-01,850760,401780000
2024-10-01,8542,10837727000
2024-10-01,854232,6220656000
2024-11-01,850423,49102000
2024-11-01,850760,410027000
2024-11-01,8542,10423528000
2024-11-01,854232,6443622000
2024-12-01,850423,119649000
2024-12-01,850760,574203000
2024-12-01,8542,11672044000
2024-12-01,854232,7444170000
2025-01-01,850423,85380000
2025-01-01,850760,296029000
2025-01-01,8542,8268990000
2025-01-01,854232,4765687000
2025-02-01,850423,121877000
2025-02-01,850760,367376000
2025-02-01,8542,8112392000
2025-02-01,854232,4725937000
2025-03-01,850423,74207000
2025-03-01,850760,369584000
2025-03-01,8542,10455178000
2025-03-01,854232,6694284000
2025-04-01,850423,98489000
2025-04-01,850760,398531000
2025-04-01,8542,9775948000
2025-04-01,854232,5761054000
2025-05-01,850423,102328000
2025-05-01,850760,283757000
2025-05-01,8542,11574557000
2025-05-01,854232,7337464000
2025-06-01,850423,175206000
2025-06-01,850760,353384000
2025-06-01,8542,12255310000
2025-06-01,854232,8230251000
2025-07-01,850423,89871000
2025-07-01,850760,337748000
2025-07-01,8542,12288714000
2025-07-01,854232,7560781000
2025-08-01,850423,102705000
2025-08-01,850760,290263000
2025-08-01,8542,12615815000
2025-08-01,854232,8504645000
2025-09-01,850423,108871000
2025-09-01,850760,369050000
2025-09-01,8542,13623717000
2025-09-01,854232,9345975000
2025-10-01,850423,79520000
2025-10-01,850760,332392000
2025-10-01,8542,13175852000
2025-10-01,854232,8886616000
2025-11-01,850423,128475000
2025-11-01,850760,434966000
2025-11-01,8542,13954468000
2025-11-01,854232,10163661000
2025-12-01,850423,130622000
2025-12-01,850760,453255000
2025-12-01,8542,16726110000
2025-12-01,854232,12636910000
2026-01-01,850423,122902000
2026-01-01,850760,297512000
2026-01-01,8542,16403459000
2026-01-01,854232,12111963000
2026-02-01,850423,110692000
2026-02-01,850760,365989000
2026-02-01,8542,19449479000
2026-02-01,854232,15810750000
2026-03-01,850423,132107000
2026-03-01,850760,544087000
2026-03-01,8542,24904817000
2026-03-01,854232,20759011000
2026-04-01,850423,139380000
2026-04-01,850760,363753000
2026-04-01,8542,25237330000
2026-04-01,854232,20829752000
2026-05-01,850423,127611000
2026-05-01,850760,432376000
2026-05-01,8542,29433799000
2026-05-01,854232,24952045000
2026-06-01,850423,69046000
2026-06-01,850760,382681000
2026-06-01,8542,33564192000
2026-06-01,854232,29039861000
2026-07-01,850423,120852000
2026-07-01,850760,364079000
2026-07-01,8542,32724293000
2026-07-01,854232,28007195000
2026-08-01,850423,176336000
2026-08-01,850760,304112000
2026-08-01,8542,38235698000
2026-08-01,854232,33107224000
