month,market,code,name,revenue_k_twd
2005-01-01,sii,2387,精元電腦,211221.0
2005-01-01,sii,2388,威盛電子,1546842.0
2005-01-01,sii,2390,云辰,95611.0
2005-01-01,sii,2391,合勤科技,1308369.0
2005-01-01,sii,2392,正崴,1721060.0
2005-01-01,sii,2393,億光電子,424820.0
2005-01-01,sii,2394,普立爾,1812111.0
2005-01-01,sii,2395,研華,597685.0
2005-01-01,sii,2396,精碟科技,750598.0
2005-01-01,sii,2397,友通資訊,270300.0
2005-01-01,sii,2399,映泰,526681.0
2005-01-01,sii,2401,凌陽科技,1570526.0
2005-01-01,sii,2402,毅嘉科技,412498.0
2005-01-01,sii,2403,友尚,2609271.0
2005-01-01,sii,2404,漢唐,1156365.0
2005-01-01,sii,2405,浩鑫,348328.0
2005-01-01,sii,2406,國碩科技,131484.0
2005-01-01,sii,2407,陞技,170674.0
2005-01-01,sii,2408,南科,3557015.0
2005-01-01,sii,2409,友達,12689568.0
2005-01-01,sii,2410,鼎大科技,338724.0
2005-01-01,sii,2411,飛瑞,338018.0
2005-01-01,sii,2412,中華電,15305503.0
2005-01-01,sii,2413,環科,207144.0
2005-01-01,sii,2414,精技電腦,817056.0
2005-01-01,sii,2415,錩新,73232.0
2005-01-01,sii,2417,圓剛,231579.0
2005-01-01,sii,2418,雅新,1867625.0
2005-01-01,sii,2419,仲琦,109230.0
2005-01-01,sii,2420,新巨,216778.0
2005-01-01,sii,2421,建準電機,314040.0
2005-01-01,sii,2423,固緯,102957.0
2005-01-01,sii,2424,隴華電子,128418.0
2005-01-01,sii,2425,承啟,214638.0
2005-01-01,sii,2426,鼎元,155152.0
2005-01-01,sii,2427,三商電腦,256590.0
2005-01-01,sii,2428,興勤電子,82657.0
2005-01-01,sii,2429,永兆,97728.0
2005-01-01,sii,2430,燦坤實業,2574439.0
2005-01-01,sii,2431,聯昌電子,270368.0
2005-01-01,sii,2432,倚天資訊,94943.0
2005-01-01,sii,2433,互盛電,110003.0
2005-01-01,sii,2434,統懋,55389.0
2005-01-01,sii,2436,偉詮電,92015.0
2005-01-01,sii,2437,旺詮,53410.0
2005-01-01,sii,2438,英誌企業,635507.0
2005-01-01,sii,2439,美律,158666.0
2005-01-01,sii,2440,太空梭,219340.0
2005-01-01,sii,2441,超豐電子,482129.0
2005-01-01,sii,2442,美齊科技,863188.0
2005-01-01,sii,2443,利碟,236446.0
2005-01-01,sii,2444,友旺科技,288799.0
2005-01-01,sii,2446,全懋,510030.0
2005-01-01,sii,2447,鼎新電腦,168617.0
2005-01-01,sii,2448,晶電,207329.0
2005-01-01,sii,2449,京元電,682298.0
2005-01-01,sii,2450,神腦,1400418.0
2005-01-01,sii,2451,創見資訊,1541078.0
2005-01-01,sii,2452,乾坤科技,141705.0
2005-01-01,sii,2453,凌群,81453.0
2005-01-01,sii,2454,聯發科,3032758.0
2005-01-01,sii,2455,全新,28092.0
2005-01-01,sii,2456,奇力新,98043.0
2005-01-01,sii,2457,飛宏科技,767195.0
2005-01-01,sii,2458,義隆,258613.0
2005-01-01,sii,2459,敦吉,403809.0
2005-01-01,sii,2460,建通精密,142062.0
2005-01-01,sii,2461,光群雷射,80264.0
2005-01-01,sii,2462,良得電,122757.0
2005-01-01,sii,2463,研揚科技,73902.0
2005-01-01,sii,2464,盟立,311054.0
2005-01-01,sii,2465,麗臺科技,809161.0
2005-01-01,sii,2466,冠西電,71325.0
2005-01-01,sii,2467,志聖工業,116467.0
2005-01-01,sii,2468,華經,130635.0
2005-01-01,sii,2469,力信,186933.0
2005-01-01,sii,2471,資通,49412.0
2005-01-01,sii,2472,立隆電子,167717.0
2005-01-01,sii,2473,思源,119164.0
2005-01-01,sii,2474,可成科技,98876.0
2005-01-01,sii,2475,華映,4383050.0
2005-01-01,sii,2476,鉅祥,89483.0
2005-01-01,sii,2477,美隆電,324421.0
2005-01-01,sii,2478,大毅,107751.0
2005-01-01,sii,2479,和立聯合,194785.0
2005-01-01,sii,2480,敦陽科技,395531.0
2005-01-01,sii,2481,強茂,272954.0
2005-01-01,sii,2482,連宇,81925.0
2005-01-01,sii,2483,百容,85097.0
2005-01-01,sii,2484,希華,109725.0
2005-01-01,sii,2485,兆赫電子,396356.0
2005-01-01,sii,2486,一詮精密,101369.0
2005-01-01,sii,2487,友立資訊,35771.0
2005-01-01,sii,2488,漢平,128965.0
2005-01-01,sii,2489,瑞軒,826909.0
2005-01-01,sii,2491,訊碟,81657.0
2005-01-01,sii,2492,華新科,470418.0
2005-01-01,sii,2493,揚博科技,204441.0
2005-01-01,sii,2494,突破,58983.0
2005-01-01,sii,2495,普安,227498.0
2005-01-01,sii,2496,卓越光纖,10125.0
2005-01-01,sii,2497,怡利電子,83636.0
2005-01-01,sii,2498,宏達電,4200760.0
2005-01-01,sii,2499,東貝光電,130272.0
2005-01-01,sii,3002,歐格電子,73475.0
2005-01-01,sii,3003,健和興,84016.0
2005-01-01,sii,3004,宏達科技,63715.0
