code,g,z
1463,-0.04717523022475867,-0.1897910150040102
1464,0.02652350003330528,-0.37962353354144185
1465,-0.10675903987843527,-0.30320607376297576
1466,-0.10051340559041644,-0.4013828396573091
1467,0.01419250881552192,-0.15663814353326455
1468,-0.35690000335521677,-1.1718022448594256
1470,-0.08222913178665392,-0.4220109343724845
1471,-0.47231826614943495,-1.0465576570060238
1472,0.12391634851086009,-0.0989531294090884
1473,0.05303041119156515,0.06218777546553462
1474,-0.047221810595560854,-0.3024675517225587
1475,0.14385790540398946,-0.1777051472512929
1476,0.11820966671397293,0.00883355672913954
1477,0.004459705431943739,-0.4870681977150406
1503,0.0012217401783831683,-0.39320635251890457
1504,0.09878826677986319,0.1388455427497639
1506,0.3104934399953052,1.4498719925494374
1512,-0.1548091712272418,-0.452326075867511
1513,0.07069127021501553,0.014041670619316531
1514,0.040260066844255205,-0.20715244278177938
1515,0.005147716928889379,-0.2456572219519709
1516,0.31564974596054385,-0.12601314308820383
1517,0.2152276541000111,0.5662280187664002
1519,-0.09150602317400403,-0.6701256245835432
1521,-0.01295839339929361,-0.15625645734795343
1522,0.1743744833322889,0.3379957155929602
1524,0.06934342197430676,0.47594776713549136
1525,0.06403544594524058,0.18726917441260543
1526,-0.22441110853223567,-1.0824719660913718
1527,-0.010220089075560268,-0.09478469469429378
1528,0.3664020960375989,1.084351343219174
1529,-0.30442825022723285,-0.4634070237206846
1530,-0.09442161603159671,-0.3718831334401458
1531,0.1781731505916404,0.30046223455601007
1532,-0.15581837590587677,-0.5361585667290625
1533,0.26129878769243864,0.5494679545096807
1535,-0.32933329668391764,-1.4900218352738146
1536,0.09274976515170463,0.031000356293329537
1537,0.10565149418900655,-0.056784446128182085
1538,-0.47612003982363815,-1.1789162491967167
1539,-0.06283995144384524,-0.31763206094580215
1540,-0.4877988381120659,-1.1597257611038443
1541,-0.4200146148974522,-1.5362176054516616
1558,0.1721527772464324,0.29303045296201946
1560,0.24355260170841442,0.7096232073303309
1563,0.12390847667370752,0.22457303808378548
1565,-0.13234620376596207,-1.0932286208016468
