month,code,g,z,a,r3,event_date,name,market,industry,ticker
2021-02-01,2419,0.8562300111807379,2.1171712910939244,0.5258439648938364,3141105.0,2021-03-11,仲琦,sii,Communications & networking,2419.TW
2010-01-01,2420,0.48747235221741536,2.0288444001090182,0.4843838792178441,824497.0,2010-02-11,新巨,sii,Electronic components,2420.TW
2013-03-01,2421,0.3723470794891157,2.3150711907227874,0.4223386947750345,1671903.0,2013-04-11,建準,sii,Electronic components,2421.TW
2013-09-01,2421,0.6455745903163812,2.882014645683027,0.027859916484306302,2229668.0,2013-10-11,建準,sii,Electronic components,2421.TW
2025-04-01,2421,0.4660266441163332,2.2225470819683197,0.29662480164461247,4486647.0,2025-05-11,建準,sii,Electronic components,2421.TW
2010-03-01,2423,0.41674173008231086,2.492976996512004,0.5195295436472787,319284.0,2010-04-11,固緯,sii,Other electronics,2423.TW
2013-03-01,2423,0.4694597932369118,2.3545837541121273,0.5998042334763254,461669.0,2013-04-11,固緯,sii,Other electronics,2423.TW
2013-11-01,2423,0.5489145115657477,2.2736523789451297,0.07866866438966791,544730.0,2013-12-11,固緯,sii,Other electronics,2423.TW
2013-12-01,2424,97.87839163125204,9.339608989317261,97.9124553969598,302469.0,2014-01-11,隴華,sii,Communications & networking,2424.TW
2009-11-01,2425,2.137878910197344,2.7520676156743544,1.6055600988718517,1127192.0,2009-12-11,承啟,sii,Computers & peripherals,2425.TW
2012-06-01,2425,3.5076214164992505,3.0865588985238372,3.9704695051192562,565418.0,2012-07-11,承啟,sii,Computers & peripherals,2425.TW
2012-12-01,2425,52.44797840502318,7.52694604270117,39.343410987756336,910807.0,2013-01-11,承啟,sii,Computers & peripherals,2425.TW
2009-12-01,2426,0.7501803412009576,2.5344855055367055,0.7511269453733682,761829.0,2010-01-11,鼎元,sii,Optoelectronics,2426.TW
2013-10-01,2426,0.9108842068522851,2.198433608253342,0.8207809915872837,1292052.0,2013-11-11,鼎元,sii,Optoelectronics,2426.TW
2008-07-01,2427,0.5014379223752723,2.3406124910807864,0.48303732816878564,650519.0,2008-08-11,三商電,sii,IT services,2427.TW
2009-11-01,2427,0.7587564540958815,2.1848426221564363,1.3073678921182204,516392.0,2009-12-11,三商電,sii,IT services,2427.TW
2016-05-01,2427,1.1620768712070126,3.318468379728825,1.2579936846082405,641272.0,2016-06-11,三商電,sii,IT services,2427.TW
2017-10-01,2427,1.0981048813390406,3.0260040564243855,1.0422832799544497,934733.0,2017-11-11,三商電,sii,IT services,2427.TW
2024-05-01,2427,1.0432395531868908,2.9996020942379915,1.0446225398253142,1550402.0,2024-06-11,三商電,sii,IT services,2427.TW
2025-06-01,2427,1.4756858809722244,4.240453151133727,1.7440878683433125,2037742.0,2025-07-11,三商電,sii,IT services,2427.TW
2026-01-01,2427,0.9022675192782674,2.31934233448039,0.2884336004423371,2687145.0,2026-02-11,三商電,sii,IT services,2427.TW
2010-01-01,2428,0.9336104235128926,3.8568273722061113,0.9613995165345096,586640.0,2010-02-11,興勤,sii,Electronic components,2428.TW
2013-06-01,2428,0.6251379347689281,2.0025681617611983,0.12517428457238555,1110447.0,2013-07-11,興勤,sii,Electronic components,2428.TW
2013-12-01,2428,0.8210939202440619,2.343283654248078,0.09413613218696049,1128195.0,2014-01-11,興勤,sii,Electronic components,2428.TW
2021-03-01,2428,0.6048922355363942,2.167465759788286,0.4835847762884731,1758145.0,2021-04-11,興勤,sii,Electronic components,2428.TW
2008-04-01,2431,1.2392123714768726,3.1345880925218346,1.2530615533910177,323190.0,2008-05-11,聯昌,sii,Electronic components,2431.TW
2009-02-01,2431,2.223296281242453,2.3312684113113593,1.206168366282966,547190.0,2009-03-11,聯昌,sii,Electronic components,2431.TW
2013-02-01,2433,0.32104019799010053,4.06135520650982,0.3538942633883976,422754.0,2013-03-11,互盛電,sii,Other electronics,2433.TW
2013-08-01,2433,0.513762080317995,3.4698699938779556,0.09058132122252416,498883.0,2013-09-11,互盛電,sii,Other electronics,2433.TW
2013-09-01,2439,1.2773326753010763,2.050742858295423,0.7840831610309345,3017837.0,2013-10-11,美律,sii,Communications & networking,2439.TW
2013-11-01,2440,0.7166005042647927,2.478656432900821,0.37751490832754975,639983.0,2013-12-11,太空梭,sii,Electronic components,2440.TW
2021-01-01,2440,0.5749031298324836,2.089519804548245,0.4043336084215483,1071394.0,2021-02-11,太空梭,sii,Electronic components,2440.TW
2009-12-01,2441,0.8541038906747997,3.187915352439236,0.7925375303617259,2430504.0,2010-01-11,超豐,sii,Semiconductors,2441.TW
2016-06-01,2442,0.993343038756803,2.04762082596786,0.9229108100701346,471015.0,2016-07-11,新美齊,sii,Construction,2442.TW
2018-10-01,2442,4.040258558630619,6.721306920623755,3.3543511311434946,3024639.0,2018-11-11,新美齊,sii,Construction,2442.TW
2022-07-01,2442,7.008372763891575,7.575771653541638,7.9738305754384555,455284.0,2022-08-11,新美齊,sii,Construction,2442.TW
2023-12-01,2442,38.93752668746921,13.776027764826452,38.61848562377516,1215898.0,2024-01-11,新美齊,sii,Construction,2442.TW
2025-12-01,2442,18.93003397558494,3.363383439339227,19.244533267483384,9931116.0,2026-01-11,新美齊,sii,Construction,2442.TW
2010-01-01,2444,0.4749328121182508,2.946128823725399,0.6377350257505765,603690.0,2010-02-11,兆勁,sii,Communications & networking,2444.TW
2019-07-01,2444,0.397765630030708,2.306044289402406,0.38026927966574453,403746.0,2019-08-11,兆勁,sii,Communications & networking,2444.TW
2020-02-01,2444,0.5633324746036499,2.550849781131538,0.2707517574053935,449061.0,2020-03-11,兆勁,sii,Communications & networking,2444.TW
2010-01-01,2448,1.5268529769137302,2.352873894373308,1.1454181987652436,3878454.0,2010-02-11,晶電,sii,,2448.TW
2010-01-01,2449,1.0579457371502334,3.118146820620695,1.105020654692158,3341540.0,2010-02-11,京元電子,sii,Semiconductors,2449.TW
2008-02-01,2450,0.5049150185975002,2.598300088348473,0.3075987860696894,6135376.0,2008-03-11,神腦,sii,Communications & networking,2450.TW
2011-08-01,2450,0.4707629561292932,2.272253961676848,0.2768916110808801,7309611.0,2011-09-11,神腦,sii,Communications & networking,2450.TW
2025-09-01,2451,0.6323526373504125,2.376331068950153,0.24706049986890566,4108501.0,2025-10-11,創見,sii,Semiconductors,2451.TW
2026-03-01,2451,3.5689390556420504,7.672856622251869,1.8500482765443236,13628469.0,2026-04-11,創見,sii,Semiconductors,2451.TW
2008-10-01,2452,0.32904815868850235,2.035978394968245,0.10351904656506661,623919.0,2008-11-11,乾坤科技,sii,,2452.TW
2008-04-01,2453,1.141952863935464,2.117416643402763,1.583287905378243,436515.0,2008-05-11,凌群,sii,IT services,2453.TW
2009-02-01,2453,1.213735634330681,2.1142333927128454,1.2077582903923827,711167.0,2009-03-11,凌群,sii,IT services,2453.TW
2013-01-01,2454,0.598804815861175,2.1016569380078827,0.23125775164039442,19245039.0,2013-02-11,聯發科,sii,Semiconductors,2454.TW
2013-07-01,2454,1.1976242163002042,2.901000880060468,0.08704523554787569,33922345.0,2013-08-11,聯發科,sii,Semiconductors,2454.TW
2014-02-01,2454,1.1440007212618006,2.2215079729312848,0.2398328867866375,41663532.0,2014-03-11,聯發科,sii,Semiconductors,2454.TW
2009-12-01,2455,1.5023613518197574,2.4259339070773183,1.0806388410454184,462036.0,2010-01-11,全新,sii,Communications & networking,2455.TW
2023-11-01,2455,0.9313253612978041,2.0623096051046206,0.8025169719242577,929319.0,2023-12-11,全新,sii,Communications & networking,2455.TW
2010-01-01,2456,0.4198349562207815,2.8295830240595343,0.4978962110023355,439774.0,2010-02-11,奇力新,sii,,2456.TW
2021-02-01,2457,0.46192851684964964,2.2274282387496243,0.4467559870361437,2508279.0,2021-03-11,飛宏,sii,Electronic components,2457.TW
2009-09-01,2458,0.3732524909245385,2.5445230288467475,0.3660026137079744,1351242.0,2009-10-11,義隆,sii,Semiconductors,2458.TW
2010-03-01,2458,0.742133481339952,2.7790168437284235,0.41361751999416074,1227286.0,2010-04-11,義隆,sii,Semiconductors,2458.TW
2012-10-01,2458,0.6128230127840133,2.0480931571092658,0.19711087261584748,2067752.0,2012-11-11,義隆,sii,Semiconductors,2458.TW
2020-05-01,2458,0.5718685706929261,2.347342039373631,0.5143010493887883,3235605.0,2020-06-11,義隆,sii,Semiconductors,2458.TW
2021-01-01,2458,0.8485818308271929,3.0469407678918623,0.23869287939104433,4550384.0,2021-02-11,義隆,sii,Semiconductors,2458.TW
2010-03-01,2459,0.6815007236827892,2.1908004433726784,0.5898168123756804,1556767.0,2010-04-11,敦吉,sii,Other electronics,2459.TW
2013-09-01,2459,0.9111012061562889,2.67406607646541,0.4613463978722423,3957495.0,2013-10-11,敦吉,sii,Other electronics,2459.TW
2010-01-01,2460,1.115632415008486,2.2628775650871162,1.3357314607033886,519813.0,2010-02-11,建通,sii,Electronic components,2460.TW
2013-02-01,2460,1.0387850227936282,2.293015039162051,1.5337087288792006,597048.0,2013-03-11,建通,sii,Electronic components,2460.TW
2013-08-01,2460,3.7302181028081076,4.320619863163751,1.1474465466795354,1031916.0,2013-09-11,建通,sii,Electronic components,2460.TW
2013-01-01,2461,2.6318292241691217,5.929232199346877,2.285600593335917,491855.0,2013-02-11,光群雷,sii,Other electronics,2461.TW
2013-09-01,2461,5.858204118943182,3.105970450352978,0.04753413850104771,1005351.0,2013-10-11,光群雷,sii,Other electronics,2461.TW
2010-01-01,2462,0.6308395515637895,3.1046615535246778,0.5621633021646484,946567.0,2010-02-11,良得電,sii,Electronic components,2462.TW
2021-02-01,2462,0.5090004289333119,2.597435487377156,0.5426622434605273,1157432.0,2021-03-11,良得電,sii,Electronic components,2462.TW
2010-02-01,2464,0.3594649131225407,2.2473888422692543,0.5287746393645615,1090749.0,2010-03-11,盟立,sii,Other electronics,2464.TW
2010-08-01,2464,0.9102952473642891,3.018070150069426,0.3028705201624988,1360220.0,2010-09-11,盟立,sii,Other electronics,2464.TW
2010-05-01,2465,0.4036716111505072,3.2043274357505305,0.513106489864917,866989.0,2010-06-11,麗臺,sii,Computers & peripherals,2465.TW
2015-12-01,2465,0.37890167956218157,2.3284492619396473,0.3084112156936163,767214.0,2016-01-11,麗臺,sii,Computers & peripherals,2465.TW
2020-12-01,2465,0.5011053166072226,2.4135670670278992,0.24871524499028164,1529874.0,2021-01-11,麗臺,sii,Computers & peripherals,2465.TW
2021-06-01,2465,1.6769121510457854,5.281850186413484,0.56218983673394,2857154.0,2021-07-11,麗臺,sii,Computers & peripherals,2465.TW
2025-09-01,2465,0.9357044383833375,2.63982901575372,0.8820166151019331,1951674.0,2025-10-11,麗臺,sii,Computers & peripherals,2465.TW
2026-03-01,2465,0.9128577645528606,2.4786522789659053,1.3429764973653433,1569188.0,2026-04-11,麗臺,sii,Computers & peripherals,2465.TW
2009-12-01,2466,0.5584257216980675,2.234882165316145,0.5790866117387719,320777.0,2010-01-11,冠西電,sii,Optoelectronics,2466.TW
2013-07-01,2466,0.6377048542177586,2.0840933177934216,0.4731257673030922,378639.0,2013-08-11,冠西電,sii,Optoelectronics,2466.TW
2016-06-01,2466,0.8628897282085461,2.55751494508875,0.7702814224551611,503092.0,2016-07-11,冠西電,sii,Optoelectronics,2466.TW
2016-12-01,2466,1.4815809230534311,3.769851131992945,0.8290385501720752,585060.0,2017-01-11,冠西電,sii,Optoelectronics,2466.TW
2022-06-01,2466,0.9627974911934014,2.280010419444262,0.9990187072707326,571125.0,2022-07-11,冠西電,sii,Optoelectronics,2466.TW
2010-03-01,2467,0.9456129765529628,2.5198022503683974,1.2885397696194711,554632.0,2010-04-11,志聖,sii,Electronic components,2467.TW
2010-09-01,2467,2.063902657649522,3.1111228793603907,1.1654196290450467,916064.0,2010-10-11,志聖,sii,Electronic components,2467.TW
2009-12-01,2468,0.35250530741801844,2.324545439956175,0.30539249441424454,656195.0,2010-01-11,華經,sii,IT services,2468.TW
2011-09-01,2468,0.3913910841709507,2.404009731943702,0.6505533115023027,471484.0,2011-10-11,華經,sii,IT services,2468.TW
2014-04-01,2468,0.34676570858043787,2.083779721652843,0.3843020429719822,426250.0,2014-05-11,華經,sii,IT services,2468.TW
2018-04-01,2468,0.36589064510268465,2.451108337258976,0.4415601671946594,368393.0,2018-05-11,華經,sii,IT services,2468.TW
2018-10-01,2468,0.48499121740305373,2.891065841491539,0.35207918885818845,549521.0,2018-11-11,華經,sii,IT services,2468.TW
2019-08-01,2468,0.43052934256959885,2.347229956803518,0.3011121653275095,547249.0,2019-09-11,華經,sii,IT services,2468.TW
2020-02-01,2468,1.0362739071434373,4.717421528683163,0.7921113196180845,702262.0,2020-03-11,華經,sii,IT services,2468.TW
2023-05-01,2468,0.5468240264511388,2.4736162943260607,0.5702093825400499,842091.0,2023-06-11,華經,sii,IT services,2468.TW
2025-01-01,2468,0.4633640286661016,2.074506185478742,0.6634495829414389,759603.0,2025-02-11,華經,sii,IT services,2468.TW
2009-12-01,2472,0.46353339815460326,2.332724626180404,0.36809450836087465,946770.0,2010-01-11,立隆電,sii,Electronic components,2472.TW
2013-06-01,2472,0.5912560558927022,2.0591237467561263,0.3771719983728188,1560147.0,2013-07-11,立隆電,sii,Electronic components,2472.TW
2013-12-01,2472,0.7813868951033276,2.5088949161755534,0.31243041885687006,1462312.0,2014-01-11,立隆電,sii,Electronic components,2472.TW
