code,industry,market
4952,Semiconductors,sii
4961,Semiconductors,sii
4967,Semiconductors,sii
4968,Semiconductors,sii
5222,Semiconductors,sii
5236,Semiconductors,sii
5269,Semiconductors,sii
5285,Semiconductors,sii
5471,Semiconductors,sii
6202,Semiconductors,sii
6239,Semiconductors,sii
6243,Semiconductors,sii
6257,Semiconductors,sii
6271,Semiconductors,sii
6515,Semiconductors,sii
6526,Semiconductors,sii
6531,Semiconductors,sii
6533,Semiconductors,sii
6552,Semiconductors,sii
6695,Semiconductors,sii
6719,Semiconductors,sii
6756,Semiconductors,sii
6770,Semiconductors,sii
6789,Semiconductors,sii
6799,Semiconductors,sii
6909,Semiconductors,sii
6921,Semiconductors,sii
6937,Semiconductors,sii
7730,Semiconductors,sii
7768,Semiconductors,sii
7769,Semiconductors,sii
8016,Semiconductors,sii
8028,Semiconductors,sii
8081,Semiconductors,sii
8110,Semiconductors,sii
8131,Semiconductors,sii
8150,Semiconductors,sii
8162,Semiconductors,sii
8261,Semiconductors,sii
8271,Semiconductors,sii
2301,Computers & peripherals,sii
2305,Computers & peripherals,sii
2324,Computers & peripherals,sii
2331,Computers & peripherals,sii
2352,Computers & peripherals,sii
2353,Computers & peripherals,sii
2356,Computers & peripherals,sii
2357,Computers & peripherals,sii
2362,Computers & peripherals,sii
2364,Computers & peripherals,sii
2365,Computers & peripherals,sii
2376,Computers & peripherals,sii
2377,Computers & peripherals,sii
2380,Computers & peripherals,sii
2382,Computers & peripherals,sii
2387,Computers & peripherals,sii
2395,Computers & peripherals,sii
2397,Computers & peripherals,sii
2399,Computers & peripherals,sii
2405,Computers & peripherals,sii
2417,Computers & peripherals,sii
2425,Computers & peripherals,sii
2432,Computers & peripherals,sii
2465,Computers & peripherals,sii
2495,Computers & peripherals,sii
3002,Computers & peripherals,sii
3005,Computers & peripherals,sii
3013,Computers & peripherals,sii
3017,Computers & peripherals,sii
3022,Computers & peripherals,sii
3046,Computers & peripherals,sii
3057,Computers & peripherals,sii
3060,Computers & peripherals,sii
3231,Computers & peripherals,sii
3416,Computers & peripherals,sii
3494,Computers & peripherals,sii
3515,Computers & peripherals,sii
3652,Computers & peripherals,sii
3701,Computers & peripherals,sii
3706,Computers & peripherals,sii
3712,Computers & peripherals,sii
4916,Computers & peripherals,sii
4938,Computers & peripherals,sii
5258,Computers & peripherals,sii
6117,Computers & peripherals,sii
6128,Computers & peripherals,sii
6166,Computers & peripherals,sii
6206,Computers & peripherals,sii
6230,Computers & peripherals,sii
6235,Computers & peripherals,sii
6277,Computers & peripherals,sii
6414,Computers & peripherals,sii
6579,Computers & peripherals,sii
6669,Computers & peripherals,sii
6831,Computers & peripherals,sii
6928,Computers & peripherals,sii
7711,Computers & peripherals,sii
8114,Computers & peripherals,sii
8163,Computers & peripherals,sii
8210,Computers & peripherals,sii
9912,Computers & peripherals,sii
2323,Optoelectronics,sii
2349,Optoelectronics,sii
2374,Optoelectronics,sii
2393,Optoelectronics,sii
2406,Optoelectronics,sii
2409,Optoelectronics,sii
2426,Optoelectronics,sii
2429,Optoelectronics,sii
2438,Optoelectronics,sii
2466,Optoelectronics,sii
2486,Optoelectronics,sii
2489,Optoelectronics,sii
2491,Optoelectronics,sii
3008,Optoelectronics,sii
3019,Optoelectronics,sii
3024,Optoelectronics,sii
3031,Optoelectronics,sii
3038,Optoelectronics,sii
3049,Optoelectronics,sii
3050,Optoelectronics,sii
3051,Optoelectronics,sii
3059,Optoelectronics,sii
3149,Optoelectronics,sii
3168,Optoelectronics,sii
3356,Optoelectronics,sii
3406,Optoelectronics,sii
3437,Optoelectronics,sii
3481,Optoelectronics,sii
3504,Optoelectronics,sii
3535,Optoelectronics,sii
3543,Optoelectronics,sii
3563,Optoelectronics,sii
3576,Optoelectronics,sii
3591,Optoelectronics,sii
3622,Optoelectronics,sii
3714,Optoelectronics,sii
4934,Optoelectronics,sii
4942,Optoelectronics,sii
4949,Optoelectronics,sii
4956,Optoelectronics,sii
4960,Optoelectronics,sii
4976,Optoelectronics,sii
5234,Optoelectronics,sii
5244,Optoelectronics,sii
5484,Optoelectronics,sii
6116,Optoelectronics,sii
6120,Optoelectronics,sii
6164,Optoelectronics,sii
6168,Optoelectronics,sii
6176,Optoelectronics,sii
6209,Optoelectronics,sii
6225,Optoelectronics,sii
6226,Optoelectronics,sii
6278,Optoelectronics,sii
6405,Optoelectronics,sii
6443,Optoelectronics,sii
6477,Optoelectronics,sii
6668,Optoelectronics,sii
6706,Optoelectronics,sii
6742,Optoelectronics,sii
6916,Optoelectronics,sii
8104,Optoelectronics,sii
8105,Optoelectronics,sii
8215,Optoelectronics,sii
2314,Communications & networking,sii
2321,Communications & networking,sii
2332,Communications & networking,sii
2345,Communications & networking,sii
2412,Communications & networking,sii
2419,Communications & networking,sii
2424,Communications & networking,sii
2439,Communications & networking,sii
2444,Communications & networking,sii
2450,Communications & networking,sii
2455,Communications & networking,sii
2485,Communications & networking,sii
2498,Communications & networking,sii
3025,Communications & networking,sii
3027,Communications & networking,sii
3045,Communications & networking,sii
3047,Communications & networking,sii
3062,Communications & networking,sii
3138,Communications & networking,sii
3311,Communications & networking,sii
3380,Communications & networking,sii
3419,Communications & networking,sii
3447,Communications & networking,sii
3596,Communications & networking,sii
3669,Communications & networking,sii
3694,Communications & networking,sii
3704,Communications & networking,sii
4904,Communications & networking,sii
4906,Communications & networking,sii
5388,Communications & networking,sii
6136,Communications & networking,sii
6142,Communications & networking,sii
6152,Communications & networking,sii
6216,Communications & networking,sii
6285,Communications & networking,sii
6416,Communications & networking,sii
6426,Communications & networking,sii
6442,Communications & networking,sii
6674,Communications & networking,sii
6792,Communications & networking,sii
8011,Communications & networking,sii
8045,Communications & networking,sii
8101,Communications & networking,sii
1471,Electronic components,sii
1582,Electronic components,sii
2059,Electronic components,sii
2308,Electronic components,sii
2313,Electronic components,sii
2316,Electronic components,sii
2327,Electronic components,sii
2328,Electronic components,sii
2355,Electronic components,sii
2367,Electronic components,sii
2368,Electronic components,sii
2375,Electronic components,sii
2383,Electronic components,sii
2385,Electronic components,sii
2392,Electronic components,sii
2402,Electronic components,sii
2413,Electronic components,sii
2415,Electronic components,sii
2420,Electronic components,sii
2421,Electronic components,sii
2428,Electronic components,sii
2431,Electronic components,sii
2440,Electronic components,sii
2457,Electronic components,sii
2460,Electronic components,sii
2462,Electronic components,sii
2467,Electronic components,sii
2472,Electronic components,sii
2476,Electronic components,sii
2478,Electronic components,sii
2483,Electronic components,sii
2484,Electronic components,sii
2492,Electronic components,sii
2493,Electronic components,sii
3003,Electronic components,sii
3011,Electronic components,sii
3015,Electronic components,sii
3021,Electronic components,sii
3023,Electronic components,sii
3026,Electronic components,sii
3032,Electronic components,sii
3037,Electronic components,sii
3042,Electronic components,sii
3044,Electronic components,sii
3058,Electronic components,sii
3090,Electronic components,sii
3092,Electronic components,sii
3229,Electronic components,sii
3296,Electronic components,sii
3308,Electronic components,sii
3321,Electronic components,sii
3338,Electronic components,sii
3376,Electronic components,sii
3432,Electronic components,sii
3501,Electronic components,sii
3533,Electronic components,sii
3550,Electronic components,sii
3593,Electronic components,sii
3605,Electronic components,sii
3607,Electronic components,sii
3645,Electronic components,sii
3653,Electronic components,sii
3679,Electronic components,sii
3715,Electronic components,sii
4545,Electronic components,sii
4915,Electronic components,sii
4989,Electronic components,sii
4999,Electronic components,sii
5469,Electronic components,sii
6108,Electronic components,sii
6115,Electronic components,sii
6133,Electronic components,sii
6141,Electronic components,sii
6153,Electronic components,sii
6155,Electronic components,sii
6191,Electronic components,sii
6197,Electronic components,sii
6205,Electronic components,sii
6213,Electronic components,sii
6224,Electronic components,sii
6269,Electronic components,sii
6272,Electronic components,sii
6282,Electronic components,sii
6412,Electronic components,sii
6449,Electronic components,sii
6715,Electronic components,sii
6805,Electronic components,sii
6834,Electronic components,sii
6835,Electronic components,sii
8039,Electronic components,sii
8046,Electronic components,sii
8103,Electronic components,sii
8213,Electronic components,sii
8249,Electronic components,sii
2347,Electronics distribution,sii
2414,Electronics distribution,sii
2430,Electronics distribution,sii
3010,Electronics distribution,sii
3028,Electronics distribution,sii
3033,Electronics distribution,sii
3036,Electronics distribution,sii
3048,Electronics distribution,sii
3054,Electronics distribution,sii
3055,Electronics distribution,sii
3209,Electronics distribution,sii
3312,Electronics distribution,sii
3528,Electronics distribution,sii
3702,Electronics distribution,sii
5434,Electronics distribution,sii
6189,Electronics distribution,sii
6281,Electronics distribution,sii
6776,Electronics distribution,sii
6908,Electronics distribution,sii
8070,Electronics distribution,sii
8072,Electronics distribution,sii
8112,Electronics distribution,sii
2427,IT services,sii
2453,IT services,sii
2468,IT services,sii
2471,IT services,sii
2480,IT services,sii
3029,IT services,sii
4994,IT services,sii
5203,IT services,sii
6112,IT services,sii
6183,IT services,sii
6214,IT services,sii
2312,Other electronics,sii
2317,Other electronics,sii
2354,Other electronics,sii
2359,Other electronics,sii
2360,Other electronics,sii
2373,Other electronics,sii
2390,Other electronics,sii
2404,Other electronics,sii
2423,Other electronics,sii
2433,Other electronics,sii
2459,Other electronics,sii
