code,name_en
2753,Bafang
2754,Kura Sushi Asia
2755,YoungQin International
2756,Lian Fa International Dining Business
2762,World Gym
2801,CHANG HWA BANK
2812,T.C.C.B.
2816,UNION INS.
2820,CBF
2832,TFMI
2834,TBB
2836,B.O.K
2838,UBOT
2845,FEIB
2849,EnTie Bank
2850,SK Insurance
2851,Central Re
2852,FIRST INS
2855,PSC
2867,Mercuries Life Insurance
2880,HNFHC
2881,Fubon Financial
2882,CATHAY FHC
2883,KGI Financial
2884,E.S.F.H
2885,Yuanta Group
2886,MEGA FHC
2887,TS Holdings
2889,IBF
2890,SINOPACHOLDINGS
2891,CTBC HOLDING
2892,FFHC
2897,O-Bank
2901,SHIN SHIN
2903,FEDS
2904,POCS
2905,MERCURIES
2906,Collins
2908,Test Rite
2910,TONLIN
2911,Les enphants
2912,PCSC
2913,TTC
2915,RUENTEX IND.LTD
2916,Munsin Garment
2923,Sino Horizon
2926,Eslite Spectrum
2929,TOPBI
2937,Gseven
2938,Bedding World
2939,Vitafoss-KY
2941,Mister International Enterprise
2945,Simple Mart
2947,Zhen Yu Hardware
2948,Bausen
2949,H.H.Galaxy
3002,AHOKU
3003,KST
3004,NAFCO
3005,Getac
3006,ESMT
3008,LARGAN
3010,WAH LEE
3011,JH
3013,UNEEC
3014,ITE
3015,FSP
3016,EPi
3017,AVC
3018,LUNG MING
3019,ASIA
3021,WELLTEND
3022,IEI
3023,SINBON
3024,ACTION
3025,LOOP
3026,HOLY STONE
3027,BILLION
3028,ZENITRON
3029,ZERO ONE
3030,TRI
3031,BRIGHT
3032,COMPUCASE
3033,Weikeng
3034,NOVATEK
3035,Faraday
3036,WT
3037,UNIMICRON
3038,EDT
3040,G.V.
3041,ALi
3042,TXC
3043,PCM
3044,Tripod
3045,TWM
3046,AOPEN
3047,EDIMAX
3048,EDOM
3049,HannsTouch
3050,U-TECH
3051,Optimax
3052,APEX
3054,LIWANLI
3055,Spirox Corp.
3056,Fu Hua
3057,Promise
3058,LEI
3059,Altek
3060,MIN AIK
3062,CyberTAN
3064,Astro
3066,Taiwan Oasis Technology
3067,PNC International
3071,Adda
3073,Teamphon Energy
3078,Channel Well Technology
3081,LandMark Optoelectronics
3083,Chinese Gamer International
3085,Newretail
3086,Wayi International Digital Entertainment
3088,Axiomtek
3090,NDB
3092,HOTRON
3093,Taiwan Kong King
3094,DAVICOM
3095,Chi Cheng Enterprise
3105,WIN SEMICONDUCTORS CORP
3114,Howteh Technology
3115,"Trust-Search Corp.,Ltd"
3118,LEVEL BIOTECHNOLOGY INC
3122,MEGAWIN TECHNOLOGY CO LTD
3128,Hi Sharp Intelligence Technology
3130,104
3131,GRAND PROCESS TECHNOLOGY CO
3135,Goldkey Tech.
3138,Auden
3141,ULTRA CHIP INC
3149,G-TECH
3150,SYNCOMM
3162,UNITED ALLOY TECH
3163,Browave
3164,GenMont
3167,TA LIANG
3168,DATA IMAGE
3169,ASIX ELECTRONICS CORPORATION LT
3171,Yem Chio Distribution
3176,MEDIGEN BIOTECHNOLOGY CORPORATI
3178,GONGIN PRECISION INDUSTRIAL CO
3188,Golden Long Teng Development
3189,KINSUS
3191,Yjn
3205,SAGITTARIUS LIFE SCIENCE CORP
